Real_Date,val,RegionName,field,RegionLat,RegionLon,source,Real_Date
2016-08-07,428.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-08-07
2016-09-11,630.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-09-11
2016-10-11,344.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-10-11
2016-11-10,396.5,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-11-10
2016-12-10,391.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-12-10
2017-01-09,373.5,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-01-09
2017-02-08,366.5,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-02-08
2017-03-10,405.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-03-10
2017-04-09,445.5,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-04-09
2017-05-09,418.6,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-05-09
2017-06-08,365.8,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-06-08
2017-07-08,532.9,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-07-08
2017-08-07,516.3,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-08-07
2017-09-11,542.1,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-09-11
2017-10-11,631.6,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-10-11
2017-11-10,522.7,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2017-11-10
2014-09-11,1072.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2014-09-11
2014-10-11,1211.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2014-10-11
2014-11-10,1382.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2014-11-10
2014-12-10,1410.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2014-12-10
2015-01-09,1445.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-01-09
2015-02-08,1427.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-02-08
2015-03-10,1273.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-03-10
2015-04-09,1500.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-04-09
2015-05-09,1014.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-05-09
2015-06-08,1255.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-06-08
2015-07-08,1084.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-07-08
2015-08-07,763.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-08-07
2015-09-12,914.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-09-12
2015-10-12,896.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-10-12
2015-11-11,878.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-11-11
2015-12-11,878.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2015-12-11
2016-01-10,1102.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-01-10
2016-02-09,1335.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-02-09
2016-03-10,1018.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-03-10
2016-04-09,823.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-04-09
2016-05-09,1247.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-05-09
2016-06-08,1019.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-06-08
2016-07-08,1164.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-07-08
2016-08-07,1117.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-08-07
2016-09-11,832.0,Afar,forecast_hmis_indicator_3199,12.0364450632,40.7727354148,forecast,2016-09-11
2014-09-11,938.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2014-09-11
2014-10-11,1121.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2014-10-11
2014-11-10,1230.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2014-11-10
2014-12-10,1260.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2014-12-10
2015-01-09,1324.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-01-09
2015-02-08,1198.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-02-08
2015-03-10,1185.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-03-10
2015-04-09,1118.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-04-09
2015-05-09,907.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-05-09
2015-06-08,1117.0,Afar,forecast_hmis_indicator_3200,12.0364450632,40.7727354148,forecast,2015-06-08
